unique_population_index	source_population	source_index	member_id	campaign	final_split	generated_events_frozen	root_sha256	sum_generator_weights_frozen	sum_squared_generator_weights_frozen	independent_unique_member	included_in_unique_ttbar_population	member_denominator_value_frozen	member_denominator_use_authorized	cross_campaign_process_aggregation_authorized	process_reference_cross_section_assigned	physical_weight_application_authorized
62	bundle_backed	293	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard024_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	validation	10000	fdd0d64b0d84b77f00d259cff230569055279faf5b2a07ef6d05b41e41131741	5116002.8076171875	2617348472.7546945	True	True	True	True	False	False	False
63	bundle_backed	294	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard029_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	validation	10000	e0780d9778acffa0201b6dc4fb8608ddd626bd76d13b6de2bb82ca7c7a3d514c	5116604.9194335938	2617964590.1572051	True	True	True	True	False	False	False
64	bundle_backed	295	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard034_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	validation	10000	6bb8f11f5b1e4c95fff58fa11105ca77c04bf744e96da795fe4991734ff2973c	5123548.583984375	2625075009.2448292	True	True	True	True	False	False	False
65	bundle_backed	296	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard039_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	validation	10000	b77c545534a132b83fc65c343dcfe9fa6b91829b3e44eff3bcef95216f3b6c26	5125249.0234375	2626817755.2247047	True	True	True	True	False	False	False
66	bundle_backed	297	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard004_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	validation	10000	0e0d9ecb73c0a9d9c130216a8e57c3bcb2c2ac253ea58e355d95458dfa8e3a60	5117973.0224609375	2619364785.8637943	True	True	True	True	False	False	False
67	bundle_backed	298	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard044_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	validation	10000	9e8f16456cef335130e621f983e4b4fa204e3c3dfdbf58a74af9da9c3f5d87be	5125834.3505859375	2627417778.9646759	True	True	True	True	False	False	False
68	bundle_backed	299	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard049_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	validation	10000	5ac8cf063cfa5cab6fb8c0e0998a612783e7f238eb424d4389d6fcd8953294e5	5121275.634765625	2622746412.7244053	True	True	True	True	False	False	False
69	bundle_backed	300	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard054_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	validation	10000	5193b1504f1ed9413e97336592a73a741dc5307f27c1a0f5f94c472135c4aa4f	5111672.0581054688	2612919122.9616199	True	True	True	True	False	False	False
70	bundle_backed	301	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard059_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	validation	10000	4e7991357df14f0fcf41414f2430877953a8abebf800e8829c764534105e1c97	5132692.2607421875	2634452984.3482747	True	True	True	True	False	False	False
71	bundle_backed	302	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard064_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	validation	10000	7f18b2908a894f957295baf303c849c80f3bd433b1c80e981de8cf845ab4fe89	5112933.0444335938	2614208431.6860976	True	True	True	True	False	False	False
72	bundle_backed	303	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard069_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	validation	10000	a04aa32a9a9637fa3dddeff5188d706d2cabfb35fceb590927007146fc2c53ee	5129206.54296875	2630875976.0433435	True	True	True	True	False	False	False
73	bundle_backed	304	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard074_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	validation	10000	4194610e6cfbf5cb6680500ef6be94a8e72ba1e3f74b55256ade06af4cabac76	5115406.1889648438	2616738047.8099828	True	True	True	True	False	False	False
74	bundle_backed	305	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard009_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	validation	10000	dde8313b24cc244857f3025473d581c80ac0b1a46d821279da2608b061d61aa1	5128034.66796875	2629673955.5889368	True	True	True	True	False	False	False
75	bundle_backed	333	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard022_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	test	10000	19432ff64707151f75ba78adb7db541a9a9f33a2ad667e25894ecb78b5eb2158	5116650.0854492188	2618010809.69275	True	True	True	True	False	False	False
76	legacy_recovered	324	ttbar_100k_shard001	ttbar_100k	train	10000	cd812441e240f0fd7b137129aadf4def052907f44830784879ca4e5a0d6f395c	5126727.9052734375	2628333901.4709368	True	True	True	True	False	False	False
77	legacy_recovered	325	ttbar_100k_shard002	ttbar_100k	train	10000	3328999ac5bc867fc29b29e220d382d468076a4f85b8f6c8193679a702992d61	5122303.466796875	2623799280.5959282	True	True	True	True	False	False	False
78	legacy_recovered	326	ttbar_100k_shard003	ttbar_100k	train	10000	127c87510087d164038b7629ea9d5210008cc4cb1473aa9b069a5cd4b859629e	5125923.4619140625	2627509133.7401047	True	True	True	True	False	False	False
79	legacy_recovered	327	ttbar_100k_shard007	ttbar_100k	train	10000	181529274199a5f38c795590dd471ed3d8e0dbe4676d5678c3b744ebf09643a2	5127034.3017578125	2628648073.1401219	True	True	True	True	False	False	False
80	legacy_recovered	328	ttbar_100k_shard008	ttbar_100k	train	10000	04f3142f14807b77601b735a4901bfe411102bcdc29f17c27189a75869800c50	5114535.2172851562	2615847048.8850121	True	True	True	True	False	False	False
81	legacy_recovered	329	ttbar_100k_shard009	ttbar_100k	train	10000	62fa589354ecfb8415331393e83c01475a2fe19f30d96bf46cad11bdfca2d50f	5118790.283203125	2620201396.3414726	True	True	True	True	False	False	False
82	legacy_recovered	330	ttbar_200k_shard000	ttbar_200k	train	10000	c74ad8091105a4d122c02fe92b385451b445449f7fd203dc974b08127988adeb	5111312.5610351562	2612551609.6595769	True	True	True	True	False	False	False
83	legacy_recovered	331	ttbar_200k_shard001	ttbar_200k	train	10000	5eeb89eb363d8f9a480d29addd29c2a971c6ea30dfae5f7689f5a219efbcee72	5122078.857421875	2623569182.1648178	True	True	True	True	False	False	False
84	legacy_recovered	332	ttbar_200k_shard002	ttbar_200k	train	10000	1dee8c47a9c06f1ab3c2df3b7eeed86f9a6be76db5c601503dea4da0db539053	5111447.1435546875	2612689190.1353374	True	True	True	True	False	False	False
85	legacy_recovered	333	ttbar_200k_shard004	ttbar_200k	train	10000	95109014b01a01fa07cd2cddb51b13c918f00134d6605947d7f6bd07fa7cff9b	5125620.7275390625	2627198784.2578068	True	True	True	True	False	False	False
86	legacy_recovered	334	ttbar_200k_shard005	ttbar_200k	train	10000	337749d158a2cbcb067a32701cfedb7ab784a890f04dbe6a3edc9b9fc143c9dc	5122222.2900390625	2623716118.8573017	True	True	True	True	False	False	False
87	legacy_recovered	335	ttbar_200k_shard006	ttbar_200k	train	10000	c567010fbe70cb1fe95a85a6880712b7313678fd83f6f2760f25fb6d18480028	5125297.2412109375	2626867181.0764446	True	True	True	True	False	False	False
88	legacy_recovered	336	ttbar_200k_shard007	ttbar_200k	train	10000	a8b9237ec6407e50881df6e3b1780c11b892bf8724c94b4e1754cede0d3955a8	5123270.263671875	2624789819.4624481	True	True	True	True	False	False	False
89	legacy_recovered	337	ttbar_200k_shard009	ttbar_200k	train	10000	d2b4a2b780ef283cf105b67d0d9faaf115d7123a1d568eb3ba5747a2f88c7f38	5127106.93359375	2628722550.8505106	True	True	True	True	False	False	False
90	legacy_recovered	338	ttbar_200k_shard011	ttbar_200k	train	10000	b7139c152d0befc7cbfe7a0c9acc9e41db2320034f24b38aae6f8b78e159f92b	5133634.6435546875	2635420465.3504863	True	True	True	True	False	False	False
91	legacy_recovered	339	ttbar_200k_shard012	ttbar_200k	train	10000	f8b920614ece3e4620129777426d0f50e21d489e6892e1d2db0d0bdefd09ae04	5118677.0629882812	2620085487.5162339	True	True	True	True	False	False	False
92	legacy_recovered	340	ttbar_200k_shard013	ttbar_200k	train	10000	b0e0d558061bef3d38e8b3ee6c3e3a359cb3066a3f47c2d641573048e978b687	5127194.82421875	2628812676.5495539	True	True	True	True	False	False	False
93	legacy_recovered	341	ttbar_200k_shard014	ttbar_200k	train	10000	d99486a099a0fa4de5e26016bf0c7ba59de2792167aa314acc204fe62554bd6c	5120939.3310546875	2622401963.234283	True	True	True	True	False	False	False
94	legacy_recovered	342	ttbar_200k_shard016	ttbar_200k	train	10000	4547549b7206b3fa8c1a3095b6a2e4d6a6b8e2cbf355e5a37b399b3ce3f6c8cf	5127194.82421875	2628812676.5495539	True	True	True	True	False	False	False
95	legacy_recovered	343	ttbar_200k_shard017	ttbar_200k	train	10000	e5f08ad00028b445bbfaff606ad37533be170845a76fbc785447f1dae20518a6	5121291.50390625	2622762666.798234	True	True	True	True	False	False	False
96	legacy_recovered	344	ttbar_200k_shard018	ttbar_200k	train	10000	0851f9e1c10729fb364e49c431f0ced0fed38eaed8a9423dbf8de0e73d3c7ddc	5123695.6787109375	2625225740.8041134	True	True	True	True	False	False	False
97	legacy_recovered	345	ttbar_200k_shard019	ttbar_200k	train	10000	bbb872e507a6af12944acc0e843a79b25308710fa961f047be5435074bd4ec39	5127258.30078125	2628877768.2930231	True	True	True	True	False	False	False
98	legacy_recovered	346	ttbar_100k_shard000	ttbar_100k	validation	10000	a3b7755440323eb0e5212454046efbdfa443cd3a139ae64cdd0fc0365a9c1deb	5127729.4921875	2629360974.5049477	True	True	True	True	False	False	False
99	legacy_recovered	347	ttbar_100k_shard004	ttbar_100k	validation	10000	fc7d89902695b64ba84ee39c183dd89b549840e32cf1de9f086f96df7b2dad4c	5118415.2221679688	2619817438.6520777	True	True	True	True	False	False	False
100	legacy_recovered	348	ttbar_100k_shard005	ttbar_100k	validation	10000	5a405c983c1fea331dfd853caef09b05f1c092b543d0d80dedf7f303fac03111	5122055.0537109375	2623544797.3245754	True	True	True	True	False	False	False
101	legacy_recovered	349	ttbar_200k_shard008	ttbar_200k	validation	10000	8c0cbc5965a5235c62c0b542ce3c2eab7c3254fc4a9b0a683d36fdc45b77eda2	5118229.98046875	2619627813.2969141	True	True	True	True	False	False	False
102	legacy_recovered	350	ttbar_200k_shard015	ttbar_200k	validation	10000	0caf7958a89e642c6f75d0c2ec967954159204192dadbf5a24da583d4bc298fb	5126281.1279296875	2627875820.2568069	True	True	True	True	False	False	False
