member_index	sample_class	training_target	process_or_mode	stratum_type	stratum	candidate_rows	fold	assignment_algorithm	grouping_key	status
229	background	0	qcd_hardqcd	background_family	qcd_multijet	1	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
230	background	0	qcd_hardqcd	background_family	qcd_multijet	2	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
231	background	0	qcd_hardqcd	background_family	qcd_multijet	6	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
232	background	0	qcd_hardqcd	background_family	qcd_multijet	1	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
233	background	0	qcd_hardqcd	background_family	qcd_multijet	1	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
234	background	0	qcd_hardqcd	background_family	qcd_multijet	8	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
235	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
236	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
237	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
238	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
239	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
240	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
241	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
242	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
243	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
244	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
245	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
246	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
247	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
248	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
249	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
250	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
251	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
252	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
253	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
254	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
255	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
256	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
257	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
258	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
259	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
260	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
261	background	0	qcd_hardqcd	background_family	qcd_multijet	1	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
262	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
263	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
264	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
265	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
266	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
267	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
268	background	0	qcd_hardqcd	background_family	qcd_multijet	1	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
269	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
270	background	0	qcd_hardqcd	background_family	qcd_multijet	1	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
271	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
272	background	0	qcd_hardqcd	background_family	qcd_multijet	2	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
273	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
274	background	0	qcd_hardqcd	background_family	qcd_multijet	8	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
275	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
276	background	0	qcd_hardqcd	background_family	qcd_multijet	5	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
277	background	0	qcd_hardqcd	background_family	qcd_multijet	6	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
278	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
279	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
280	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
281	background	0	qcd_hardqcd	background_family	qcd_multijet	1	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
282	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
283	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
284	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
285	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
286	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
287	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
288	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
289	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
290	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
291	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
292	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
293	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
294	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
295	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
296	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
297	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
298	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
299	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
300	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
301	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
302	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
303	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
304	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
305	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
306	background	0	qcd_hardqcd	background_family	qcd_multijet	1	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
307	background	0	qcd_hardqcd	background_family	qcd_multijet	1	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
308	background	0	qcd_hardqcd	background_family	qcd_multijet	2	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
365	background	0	schannel_single_top	background_family	single_top	8	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
366	background	0	schannel_single_top	background_family	single_top	4	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
368	background	0	tchannel_antitop	background_family	single_top	8	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
369	background	0	tchannel_antitop	background_family	single_top	1	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
370	background	0	tchannel_antitop	background_family	single_top	4	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
371	background	0	tchannel_antitop	background_family	single_top	2	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
372	background	0	tchannel_antitop	background_family	single_top	4	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
373	background	0	tchannel_antitop	background_family	single_top	4	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
376	background	0	tchannel_top	background_family	single_top	7	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
377	background	0	tchannel_top	background_family	single_top	7	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
378	background	0	tchannel_top	background_family	single_top	4	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
379	background	0	tchannel_top	background_family	single_top	1	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
380	background	0	tchannel_top	background_family	single_top	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
381	background	0	tchannel_top	background_family	single_top	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
384	background	0	tw_antitop	background_family	single_top	18	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
385	background	0	tw_antitop	background_family	single_top	17	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
386	background	0	tw_antitop	background_family	single_top	15	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
387	background	0	tw_antitop	background_family	single_top	14	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
388	background	0	tw_antitop	background_family	single_top	10	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
391	background	0	tw_top	background_family	single_top	9	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
392	background	0	tw_top	background_family	single_top	11	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
393	background	0	tw_top	background_family	single_top	7	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
394	background	0	tw_top	background_family	single_top	10	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
395	background	0	tw_top	background_family	single_top	10	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
398	background	0	wwz_zbb	background_family	triboson	9	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
399	background	0	wwz_zbb	background_family	triboson	9	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
400	background	0	wwz_zbb	background_family	triboson	10	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
401	background	0	wwz_zbb	background_family	triboson	5	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
403	background	0	wzz_zbb	background_family	triboson	9	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
404	background	0	wzz_zbb	background_family	triboson	20	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
405	background	0	wzz_zbb	background_family	triboson	20	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
406	background	0	wzz_zbb	background_family	triboson	19	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
408	background	0	zzz_zbb	background_family	triboson	12	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
409	background	0	zzz_zbb	background_family	triboson	18	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
410	background	0	zzz_zbb	background_family	triboson	15	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
411	background	0	zzz_zbb	background_family	triboson	13	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
413	background	0	qcd_bbbb_general	background_family	qcd_multijet	334	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
414	background	0	qcd_bbbb_general	background_family	qcd_multijet	382	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
415	background	0	qcd_bbbb_general	background_family	qcd_multijet	353	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
416	background	0	qcd_bbbb_general	background_family	qcd_multijet	350	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
417	background	0	qcd_bbbb_general	background_family	qcd_multijet	368	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
418	background	0	qcd_bbbb_general	background_family	qcd_multijet	352	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
419	background	0	qcd_bbbb_general	background_family	qcd_multijet	367	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
420	background	0	qcd_bbbb_general	background_family	qcd_multijet	379	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
421	background	0	qcd_bbbb_general	background_family	qcd_multijet	395	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
422	background	0	qcd_bbbb_general	background_family	qcd_multijet	324	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
423	background	0	qcd_bbbb_general	background_family	qcd_multijet	344	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
424	background	0	qcd_bbbb_general	background_family	qcd_multijet	364	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
428	background	0	qcd_bbbb_iht400to600	background_family	qcd_multijet	1481	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
429	background	0	qcd_bbbb_iht400to600	background_family	qcd_multijet	1490	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
430	background	0	qcd_bbbb_iht400to600	background_family	qcd_multijet	1525	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
431	background	0	qcd_bbbb_iht400to600	background_family	qcd_multijet	1589	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
432	background	0	qcd_bbbb_iht400to600	background_family	qcd_multijet	1562	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
433	background	0	qcd_bbbb_iht400to600	background_family	qcd_multijet	1595	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
434	background	0	qcd_bbbb_iht400to600	background_family	qcd_multijet	1552	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
435	background	0	qcd_bbbb_iht400to600	background_family	qcd_multijet	1485	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
436	background	0	qcd_bbbb_iht400to600	background_family	qcd_multijet	1581	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
437	background	0	qcd_bbbb_iht400to600	background_family	qcd_multijet	1559	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
438	background	0	qcd_bbbb_iht400to600	background_family	qcd_multijet	1560	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
439	background	0	qcd_bbbb_iht400to600	background_family	qcd_multijet	1516	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
443	background	0	ttbar_inclusive	background_family	ttbar	36	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
444	background	0	ttbar_inclusive	background_family	ttbar	41	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
445	background	0	ttbar_inclusive	background_family	ttbar	36	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
446	background	0	ttbar_inclusive	background_family	ttbar	34	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
447	background	0	ttbar_inclusive	background_family	ttbar	24	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
448	background	0	ttbar_inclusive	background_family	ttbar	35	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
449	background	0	ttbar_inclusive	background_family	ttbar	27	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
450	background	0	ttbar_inclusive	background_family	ttbar	40	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
451	background	0	ttbar_inclusive	background_family	ttbar	36	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
452	background	0	ttbar_inclusive	background_family	ttbar	34	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
453	background	0	ttbar_inclusive	background_family	ttbar	39	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
454	background	0	ttbar_inclusive	background_family	ttbar	42	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
455	background	0	ttbar_inclusive	background_family	ttbar	47	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
456	background	0	ttbar_inclusive	background_family	ttbar	33	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
457	background	0	ttbar_inclusive	background_family	ttbar	18	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
458	background	0	ttbar_inclusive	background_family	ttbar	31	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
459	background	0	ttbar_inclusive	background_family	ttbar	33	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
460	background	0	ttbar_inclusive	background_family	ttbar	33	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
461	background	0	ttbar_inclusive	background_family	ttbar	34	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
462	background	0	ttbar_inclusive	background_family	ttbar	34	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
463	background	0	ttbar_inclusive	background_family	ttbar	24	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
464	background	0	ttbar_inclusive	background_family	ttbar	35	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
465	background	0	ttbar_inclusive	background_family	ttbar	28	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
466	background	0	ttbar_inclusive	background_family	ttbar	36	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
467	background	0	ttbar_inclusive	background_family	ttbar	36	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
468	background	0	ttbar_inclusive	background_family	ttbar	30	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
469	background	0	ttbar_inclusive	background_family	ttbar	38	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
470	background	0	ttbar_inclusive	background_family	ttbar	27	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
471	background	0	ttbar_inclusive	background_family	ttbar	32	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
472	background	0	ttbar_inclusive	background_family	ttbar	30	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
473	background	0	ttbar_inclusive	background_family	ttbar	32	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
474	background	0	ttbar_inclusive	background_family	ttbar	37	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
475	background	0	ttbar_inclusive	background_family	ttbar	27	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
476	background	0	ttbar_inclusive	background_family	ttbar	35	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
477	background	0	ttbar_inclusive	background_family	ttbar	28	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
478	background	0	ttbar_inclusive	background_family	ttbar	33	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
479	background	0	ttbar_inclusive	background_family	ttbar	38	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
480	background	0	ttbar_inclusive	background_family	ttbar	35	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
481	background	0	ttbar_inclusive	background_family	ttbar	23	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
482	background	0	ttbar_inclusive	background_family	ttbar	32	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
483	background	0	ttbar_inclusive	background_family	ttbar	27	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
484	background	0	ttbar_inclusive	background_family	ttbar	34	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
485	background	0	ttbar_inclusive	background_family	ttbar	30	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
486	background	0	ttbar_inclusive	background_family	ttbar	34	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
487	background	0	ttbar_inclusive	background_family	ttbar	30	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
488	background	0	ttbar_inclusive	background_family	ttbar	28	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
489	background	0	ttbar_inclusive	background_family	ttbar	23	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
490	background	0	ttbar_inclusive	background_family	ttbar	29	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
491	background	0	ttbar_inclusive	background_family	ttbar	25	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
492	background	0	ttbar_inclusive	background_family	ttbar	27	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
493	background	0	ttbar_inclusive	background_family	ttbar	31	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
494	background	0	ttbar_inclusive	background_family	ttbar	31	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
495	background	0	ttbar_inclusive	background_family	ttbar	38	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
496	background	0	ttbar_inclusive	background_family	ttbar	40	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
497	background	0	ttbar_inclusive	background_family	ttbar	30	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
498	background	0	ttbar_inclusive	background_family	ttbar	34	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
499	background	0	ttbar_inclusive	background_family	ttbar	31	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
500	background	0	ttbar_inclusive	background_family	ttbar	35	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
501	background	0	ttbar_inclusive	background_family	ttbar	38	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
502	background	0	ttbar_inclusive	background_family	ttbar	29	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
518	background	0	zbbbb	background_family	zbbbb	314	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
519	background	0	zbbbb	background_family	zbbbb	295	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
520	background	0	zbbbb	background_family	zbbbb	302	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
521	background	0	zbbbb	background_family	zbbbb	276	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
522	background	0	zbbbb	background_family	zbbbb	301	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
523	background	0	zbbbb	background_family	zbbbb	316	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
524	background	0	zbbbb	background_family	zbbbb	262	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
525	background	0	zbbbb	background_family	zbbbb	303	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
526	background	0	zbbbb	background_family	zbbbb	272	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
527	background	0	zbbbb	background_family	zbbbb	307	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
528	background	0	zbbbb	background_family	zbbbb	292	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
529	background	0	zbbbb	background_family	zbbbb	295	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
530	background	0	zbbbb	background_family	zbbbb	294	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
531	background	0	zbbbb	background_family	zbbbb	276	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
532	background	0	zbbbb	background_family	zbbbb	279	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
533	background	0	zbbbb	background_family	zbbbb	288	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
534	background	0	zbbbb	background_family	zbbbb	314	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
